"PlayerID","FirstName","LastName","Country","Date","Points","Week Change","Tourn Played","Age","Height","Weight"
"Rafael Nadal","Rafael","Nadal","ESP",2013-12-30,"13,030","0","20",27,72.8346456692913,188
"Novak Djokovic","Novak","Djokovic","SRB",2013-12-30,"12,260","0","18",26,74.0157480314961,176
"David Ferrer","David","Ferrer","ESP",2013-12-30,"5,800","0","24",31,68.8976377952756,160
"Andy Murray","Andy","Murray","GBR",2013-12-30,"5,790","0","19",26,74.8031496062992,185
"Juan Martin Del Potro","Juan Martin","Del Potro","ARG",2013-12-30,"5,255","0","21",25,77.9527559055118,214
"Roger Federer","Roger","Federer","SUI",2013-12-30,"4,205","0","19",32,72.8346456692913,187
"Tomas Berdych","Tomas","Berdych","CZE",2013-12-30,"4,180","0","24",28,77.1653543307087,200
"Stanislas Wawrinka","Stanislas","Wawrinka","SUI",2013-12-30,"3,730","0","25",28,72.0472440944882,179
"Richard Gasquet","Richard","Gasquet","FRA",2013-12-30,"3,300","0","25",27,72.8346456692913,165
"Jo-Wilfried Tsonga","Jo-Wilfried","Tsonga","FRA",2013-12-30,"3,065","0","21",28,74.0157480314961,200
"Milos Raonic","Milos","Raonic","CAN",2013-12-30,"2,860","0","24",23,77.1653543307087,195
"Tommy Haas","Tommy","Haas","GER",2013-12-30,"2,435","0","26",35,74.0157480314961,185
"Nicolas Almagro","Nicolas","Almagro","ESP",2013-12-30,"2,290","0","23",28,72.0472440944882,185
"John Isner","John","Isner","USA",2013-12-30,"2,150","0","26",28,81.8897637795276,238
"Mikhail Youzhny","Mikhail","Youzhny","RUS",2013-12-30,"2,145","0","26",31,72.0472440944882,160
"Fabio Fognini","Fabio","Fognini","ITA",2013-12-30,"1,930","0","29",26,70.0787401574803,163
"Kei Nishikori","Kei","Nishikori","JPN",2013-12-30,"1,915","0","21",24,70.0787401574803,150
"Tommy Robredo","Tommy","Robredo","ESP",2013-12-30,"1,810","0","24",31,70.8661417322835,165
"Gilles Simon","Gilles","Simon","FRA",2013-12-30,"1,790","0","25",29,72.0472440944882,154
"Kevin Anderson","Kevin","Anderson","RSA",2013-12-30,"1,685","0","23",27,79.9212598425197,197
"Jerzy Janowicz","Jerzy","Janowicz","POL",2013-12-30,"1,615","0","21",23,79.9212598425197,200
"Philipp Kohlschreiber","Philipp","Kohlschreiber","GER",2013-12-30,"1,525","0","27",30,70.0787401574803,154
"Grigor Dimitrov","Grigor","Dimitrov","BUL",2013-12-30,"1,520","0","24",22,74.8031496062992,176
"Ernests Gulbis","Ernests","Gulbis","LAT",2013-12-30,"1,393","0","23",25,74.8031496062992,187
"Andreas Seppi","Andreas","Seppi","ITA",2013-12-30,"1,360","0","29",29,74.8031496062992,165
"Benoit Paire","Benoit","Paire","FRA",2013-12-30,"1,345","0","32",24,77.1653543307087,176
"Jurgen Melzer","Jurgen","Melzer","AUT",2013-12-30,"1,315","0","27",32,72.0472440944882,178
"Feliciano Lopez","Feliciano","Lopez","ESP",2013-12-30,"1,310","0","22",32,74.0157480314961,187
"Dmitry Tursunov","Dmitry","Tursunov","RUS",2013-12-30,"1,244","0","22",31,72.8346456692913,180
"Fernando Verdasco","Fernando","Verdasco","ESP",2013-12-30,"1,235","0","25",30,74.0157480314961,194
"Gael Monfils","Gael","Monfils","FRA",2013-12-30,"1,230","0","24",27,75.9842519685039,177
"Vasek Pospisil","Vasek","Pospisil","CAN",2013-12-30,"1,219","0","26",23,75.9842519685039,185
"Ivan Dodig","Ivan","Dodig","CRO",2013-12-30,"1,190","0","25",29,72.0472440944882,183
"Jeremy Chardy","Jeremy","Chardy","FRA",2013-12-30,"1,175","0","25",26,74.0157480314961,165
"Julien Benneteau","Julien","Benneteau","FRA",2013-12-30,"1,160","0","25",32,72.8346456692913,174
"Janko Tipsarevic","Janko","Tipsarevic","SRB",2013-12-30,"1,130","0","27",29,70.8661417322835,176
"Marin Cilic","Marin","Cilic","CRO",2013-12-30,"1,130","0","21",25,77.9527559055118,180
"Marcel Granollers","Marcel","Granollers","ESP",2013-12-30,"1,110","0","26",27,74.8031496062992,169
"Jarkko Nieminen","Jarkko","Nieminen","FIN",2013-12-30,"1,090","0","29",32,72.8346456692913,172
"Florian Mayer","Florian","Mayer","GER",2013-12-30,"1,065","0","29",30,74.8031496062992,180
"Carlos Berlocq","Carlos","Berlocq","ARG",2013-12-30,"1,020","0","26",30,72.0472440944882,165
"Juan Monaco","Juan","Monaco","ARG",2013-12-30,"1,015","0","26",29,72.8346456692913,179
"Robin Haase","Robin","Haase","NED",2013-12-30,"977","0","29",26,74.8031496062992,170
"Radek Stepanek","Radek","Stepanek","CZE",2013-12-30,"970","0","22",35,72.8346456692913,167
"Denis Istomin","Denis","Istomin","UZB",2013-12-30,"965","0","30",27,74.0157480314961,194
"Sam Querrey","Sam","Querrey","USA",2013-12-30,"960","0","25",26,77.9527559055118,200
"Lukas Rosol","Lukas","Rosol","CZE",2013-12-30,"956","0","33",28,77.1653543307087,178
"Pablo Andujar","Pablo","Andujar","ESP",2013-12-30,"946","0","32",27,70.8661417322835,167
"Joao Sousa","Joao","Sousa","POR",2013-12-30,"934","0","24",24,72.8346456692913,161
"Nicolas Mahut","Nicolas","Mahut","FRA",2013-12-30,"918","0","18",31,74.8031496062992,176
"Bernard Tomic","Bernard","Tomic","AUS",2013-12-30,"910","0","26",21,77.1653543307087,201
"Edouard Roger-Vasselin","Edouard","Roger-Vasselin","FRA",2013-12-30,"908","0","28",30,74.0157480314961,165
"Nikolay Davydenko","Nikolay","Davydenko","RUS",2013-12-30,"890","0","25",32,70.0787401574803,154
"Daniel Brands","Daniel","Brands","GER",2013-12-30,"836","0","24",26,77.1653543307087,203
"Federico Delbonis","Federico","Delbonis","ARG",2013-12-30,"836","0","20",23,74.8031496062992,194
"Horacio Zeballos","Horacio","Zeballos","ARG",2013-12-30,"835","0","29",28,74.0157480314961,183
"Alexandr Dolgopolov","Alexandr","Dolgopolov","UKR",2013-12-30,"825","0","27",25,70.8661417322835,157
"Roberto Bautista Agut","Roberto","Bautista Agut","ESP",2013-12-30,"810","0","24",25,72.0472440944882,168
"Adrian Mannarino","Adrian","Mannarino","FRA",2013-12-30,"784","0","27",25,72.0472440944882,152
"Lleyton Hewitt","Lleyton","Hewitt","AUS",2013-12-30,"780","0","19",32,70.8661417322835,170
"Marinko Matosevic","Marinko","Matosevic","AUS",2013-12-30,"774","0","25",28,75.9842519685039,190
"Guillermo Garcia-Lopez","Guillermo","Garcia-Lopez","ESP",2013-12-30,"768","0","26",30,74.0157480314961,180
"Albert Montanes","Albert","Montanes","ESP",2013-12-30,"766","0","24",33,68.8976377952756,155
"Pablo Carreno Busta","Pablo","Carreno Busta","ESP",2013-12-30,"739","0","28",22,74.0157480314961,163
"Yen-Hsun Lu","Yen-Hsun","Lu","TPE",2013-12-30,"730","0","27",30,70.8661417322835,163
"Michal Przysiezny","Michal","Przysiezny","POL",2013-12-30,"730","0","26",29,72.8346456692913,185
"Mikhail Kukushkin","Mikhail","Kukushkin","KAZ",2013-12-30,"721","0","22",26,72.0472440944882,159
"Matthew Ebden","Matthew","Ebden","AUS",2013-12-30,"706","0","28",26,74.0157480314961,172
"Santiago Giraldo","Santiago","Giraldo","COL",2013-12-30,"703","0","31",26,74.0157480314961,166
"Igor Sijsling","Igor","Sijsling","NED",2013-12-30,"697","0","29",26,74.8031496062992,192
"Filippo Volandri","Filippo","Volandri","ITA",2013-12-30,"694","0","25",32,72.0472440944882,161
"Lukasz Kubot","Lukasz","Kubot","POL",2013-12-30,"686","0","24",31,74.8031496062992,190
"Dudi Sela","Dudi","Sela","ISR",2013-12-30,"681","0","21",28,68.8976377952756,144
"Tobias Kamke","Tobias","Kamke","GER",2013-12-30,"663","0","27",27,70.0787401574803,163
"Viktor Troicki","Viktor","Troicki","SRB",2013-12-30,"660","0","23",27,75.9842519685039,189
"Teymuraz Gabashvili","Teymuraz","Gabashvili","RUS",2013-12-30,"651","0","30",28,74.0157480314961,182
"Daniel Gimeno-Traver","Daniel","Gimeno-Traver","ESP",2013-12-30,"650","0","30",28,72.0472440944882,176
"Ivo Karlovic","Ivo","Karlovic","CRO",2013-12-30,"647","0","20",34,83.0708661417323,230
"Benjamin Becker","Benjamin","Becker","GER",2013-12-30,"637","0","32",32,70.0787401574803,158
"Victor Hanescu","Victor","Hanescu","ROU",2013-12-30,"636","0","27",32,77.9527559055118,194
"Lukas Lacko","Lukas","Lacko","SVK",2013-12-30,"625","0","26",26,72.8346456692913,188
"Andrey Golubev","Andrey","Golubev","KAZ",2013-12-30,"620","0","25",26,72.8346456692913,170
"Albert Ramos","Albert","Ramos","ESP",2013-12-30,"617","0","27",25,74.0157480314961,177
"Kenny De Schepper","Kenny","De Schepper","FRA",2013-12-30,"617","0","32",26,79.9212598425197,225
"Jiri Vesely","Jiri","Vesely","CZE",2013-12-30,"616","0","22",20,77.9527559055118,198
"Julian Reister","Julian","Reister","GER",2013-12-30,"612","0","20",27,74.0157480314961,192
